team_name,team_acronym,conference,division,logo
Toronto Raptors,TOR,Eastern,Atlantic,http://content.sportslogos.net/logos/6/227/thumbs/22745782016.gif
Boston Celtics,BOS,Eastern,Atlantic,http://content.sportslogos.net/logos/6/213/thumbs/slhg02hbef3j1ov4lsnwyol5o.gif
Philadelphia 76ers,PHI,Eastern,Atlantic,http://content.sportslogos.net/logos/6/218/thumbs/21870342016.gif
Brooklyn Nets,BKN,Eastern,Atlantic,http://content.sportslogos.net/logos/6/3786/thumbs/hsuff5m3dgiv20kovde422r1f.gif
New York Knicks,NYK,Eastern,Atlantic,http://content.sportslogos.net/logos/6/216/thumbs/2nn48xofg0hms8k326cqdmuis.gif
Milwaukee Bucks,MIL,Eastern,Central,http://content.sportslogos.net/logos/6/225/thumbs/22582752016.gif
Indiana Pacers,IND,Eastern,Central,http://content.sportslogos.net/logos/6/224/thumbs/22448122018.gif
Detroit Pistons,DET,Eastern,Central,http://content.sportslogos.net/logos/6/223/thumbs/22321642018.gif
Chicago Bulls ,CHI,Eastern,Central,http://content.sportslogos.net/logos/6/221/thumbs/hj3gmh82w9hffmeh3fjm5h874.gif
Cleveland Cavaliers,CLE,Eastern,Central,http://content.sportslogos.net/logos/6/222/thumbs/22269212018.gif
Miami Heat,MIA,Eastern,Southeast,http://content.sportslogos.net/logos/6/214/thumbs/burm5gh2wvjti3xhei5h16k8e.gif
Orlando Magic,ORL,Eastern,Southeast,http://content.sportslogos.net/logos/6/217/thumbs/wd9ic7qafgfb0yxs7tem7n5g4.gif
Charlotte Hornets,CHA,Eastern,Southeast,http://content.sportslogos.net/logos/6/5120/thumbs/512019262015.gif
Washington Wizards,WAS,Eastern,Southeast,http://content.sportslogos.net/logos/6/219/thumbs/21956712016.gif
Atlanta Hawks,ATL,Eastern,Southeast,http://content.sportslogos.net/logos/6/220/thumbs/22091682016.gif
Utah Jazz,UTA,Western,Northwest,http://content.sportslogos.net/logos/6/234/thumbs/23467492017.gif
Denver Nuggets,DEN,Western,Northwest,http://content.sportslogos.net/logos/6/229/thumbs/22989262019.gif
Oklahoma City Thunder,OKC,Western,Northwest,http://content.sportslogos.net/logos/6/2687/thumbs/khmovcnezy06c3nm05ccn0oj2.gif
Portland Trail Blazers,POR,Western,Northwest,http://content.sportslogos.net/logos/6/239/thumbs/23997252018.gif
Minnesota Timberwolves,MIN,Western,Northwest,http://content.sportslogos.net/logos/6/232/thumbs/23296692018.gif
Los Angeles Lakers,LAL,Western,Pacific,http://content.sportslogos.net/logos/6/237/thumbs/uig7aiht8jnpl1szbi57zzlsh.gif
Los Angeles Clippers,LAC,Western,Pacific,http://content.sportslogos.net/logos/6/236/thumbs/23654622016.gif
Phoenix Suns ,PHX,Western,Pacific,http://content.sportslogos.net/logos/6/238/thumbs/23843702014.gif
Sacramento Kings,SAC,Western,Pacific,http://content.sportslogos.net/logos/6/240/thumbs/24040432017.gif
Golden State Warriors,GSW,Western,Pacific,http://content.sportslogos.net/logos/6/235/thumbs/23531522020.gif
Houston Rockets,HOU,Western,Southwest,http://content.sportslogos.net/logos/6/230/thumbs/23068302020.gif
Dallas Mavericks,DAL,Western,Southwest,http://content.sportslogos.net/logos/6/228/thumbs/22834632018.gif
San Antonio Spurs,SAS,Western,Southwest,http://content.sportslogos.net/logos/6/233/thumbs/23325472018.gif
Memphis Grizzlies,MEM,Western,Southwest,http://content.sportslogos.net/logos/6/231/thumbs/23143732019.gif
New Orleans Pelicans,NOP,Western,Southwest,http://content.sportslogos.net/logos/6/4962/thumbs/496226812014.gif
